"product","date","revenue","units"
8246,2011-07-25,0,1
8288,2011-07-25,0,1
8348,2011-07-25,3644,887
8421,2011-07-25,0,1
8478,2011-07-25,0,1
8504,2011-07-25,0,1
8642,2011-07-25,87227,798
8676,2011-07-25,29861,1492
8717,2011-07-25,7844,654
8789,2011-07-25,202083,607
8842,2011-07-25,9275,1717
9097,2011-07-25,33500,754
9257,2011-07-25,20299,744
9318,2011-07-25,0,1
9362,2011-07-25,6170,2
9442,2011-07-25,0,1
9453,2011-07-25,7470,2
9686,2011-07-25,0,1
9711,2011-07-25,22470,2
9932,2011-07-25,19873,1090
10020,2011-07-25,0,1
10230,2011-07-25,205648,1146
10233,2011-07-25,133971,730
10255,2011-07-25,5310,2
10316,2011-07-25,0,1
10448,2011-07-25,0,1
10511,2011-07-25,5900,2
10524,2011-07-25,0,1
10653,2011-07-25,0,1
10772,2011-07-25,0,1
10810,2011-07-25,0,1
11004,2011-07-25,13858,1600
11270,2011-07-25,0,1
11271,2011-07-25,0,1
11379,2011-07-25,41772,169
11434,2011-07-25,0,1
11486,2011-07-25,0,1
11600,2011-07-25,0,1
11613,2011-07-25,0,1
11637,2011-07-25,0,1
11652,2011-07-25,0,1
11655,2011-07-25,12285,1443
11750,2011-07-25,0,1
11789,2011-07-25,0,1
11805,2011-07-25,9360,989
11822,2011-07-25,0,1
11825,2011-07-25,19798,1644
11827,2011-07-25,0,1
11834,2011-07-25,0,1
11889,2011-07-25,0,1
11961,2011-07-25,0,1
11971,2011-07-25,45528,1669
11975,2011-07-25,7338,1556
12002,2011-07-25,0,1
12006,2011-07-25,0,1
12091,2011-07-25,0,1
12166,2011-07-25,0,1
12202,2011-07-25,19888,1395
12223,2011-07-25,0,1
12316,2011-07-25,0,1
12400,2011-07-25,4718,648
12538,2011-07-25,6140,989
12600,2011-07-25,0,1
12615,2011-07-25,17379,1408
12670,2011-07-25,19840,1490
12760,2011-07-25,0,1
12807,2011-07-25,0,1
12976,2011-07-25,45183,1055
13062,2011-07-25,9633,780
13079,2011-07-25,3446,1557
13080,2011-07-25,0,1
13082,2011-07-25,0,1
13083,2011-07-25,4650,2
13084,2011-07-25,9142,702
13085,2011-07-25,5666,1251
13086,2011-07-25,13158,267
13087,2011-07-25,10973,251
13089,2011-07-25,22552,1223
13091,2011-07-25,6730,2
13092,2011-07-25,3580,2
13111,2011-07-25,7546,912
13117,2011-07-25,15961,1205
13118,2011-07-25,9734,1514
13147,2011-07-25,10243,1579
13150,2011-07-25,9007,1266
13173,2011-07-25,27896,418
13200,2011-07-25,4560,648
13201,2011-07-25,2325,648
13210,2011-07-25,14061,1069
13213,2011-07-25,8193,296
13216,2011-07-25,0,1
13217,2011-07-25,14295,1117
13225,2011-07-25,8673,520
13235,2011-07-25,20192,1476
13241,2011-07-25,15406,900
13243,2011-07-25,28082,1379
13244,2011-07-25,11322,1056
13259,2011-07-25,18770,910
13262,2011-07-25,7560,196
13263,2011-07-25,0,1
13270,2011-07-25,12387,1251
13273,2011-07-25,10009,1068
13288,2011-07-25,16256,1736
13290,2011-07-25,15517,678
13294,2011-07-25,17848,556
13296,2011-07-25,12076,630
13298,2011-07-25,81528,933
13300,2011-07-25,5561,1443
13301,2011-07-25,11534,373
13302,2011-07-25,7995,1755
13304,2011-07-25,32675,1484
13305,2011-07-25,45597,1601
13309,2011-07-25,11422,1067
13311,2011-07-25,12371,1022
13313,2011-07-25,10338,863
13314,2011-07-25,24665,997
13315,2011-07-25,55176,460
13320,2011-07-25,18717,951
13323,2011-07-25,5600,2
13325,2011-07-25,9660,2
13326,2011-07-25,30530,854
13331,2011-07-25,10214,1366
13332,2011-07-25,22945,904
13334,2011-07-25,0,1
13336,2011-07-25,9320,648
13337,2011-07-25,7710,989
13344,2011-07-25,27583,860
13347,2011-07-25,0,1
13349,2011-07-25,9076,626
13359,2011-07-25,13772,657
13362,2011-07-25,960,648
13364,2011-07-25,50464,1659
13367,2011-07-25,2833,41
13370,2011-07-25,0,1
13374,2011-07-25,9781,893
13380,2011-07-25,12591,1036
13381,2011-07-25,19197,1410
13382,2011-07-25,18560,1424
13383,2011-07-25,33445,175
13384,2011-07-25,15093,1283
13385,2011-07-25,12972,1278
13402,2011-07-25,8369,1038
13403,2011-07-25,5357,415
13405,2011-07-25,3594,1251
13406,2011-07-25,1960,2
13407,2011-07-25,4828,1622
13414,2011-07-25,0,1
13416,2011-07-25,3607,1525
13426,2011-07-25,40155,544
13428,2011-07-25,9515,305
13429,2011-07-25,11997,781
13432,2011-07-25,4897,1160
13433,2011-07-25,7653,577
13438,2011-07-25,21775,1297
13439,2011-07-25,27972,1069
13443,2011-07-25,13950,118
13444,2011-07-25,10216,887
13446,2011-07-25,0,1
13453,2011-07-25,6685,1811
13458,2011-07-25,23848,687
13461,2011-07-25,82326,741
13463,2011-07-25,494346,1533
13464,2011-07-25,77893,1329
13467,2011-07-25,46478,1442
13482,2011-07-25,15205,1455
13499,2011-07-25,0,1
13515,2011-07-25,17399,1789
13520,2011-07-25,33843,441
13526,2011-07-25,20961,1425
13527,2011-07-25,26170,775
13528,2011-07-25,92050,1522
13531,2011-07-25,26432,1513
13532,2011-07-25,47451,1471
13533,2011-07-25,11488,1114
13535,2011-07-25,0,1
13537,2011-07-25,0,1
13550,2011-07-25,0,1
13554,2011-07-25,0,1
13556,2011-07-25,129523,79
13561,2011-07-25,7390,471
13571,2011-07-25,12795,330
13574,2011-07-25,7471,1100
13582,2011-07-25,24201,1245
13594,2011-07-25,15011,1479
13595,2011-07-25,25866,1665
13596,2011-07-25,43435,1329
13600,2011-07-25,17236,1589
13604,2011-07-25,39055,649
13611,2011-07-25,14530,52
13615,2011-07-25,115723,858
13627,2011-07-25,6611,398
13628,2011-07-25,4442,225
13629,2011-07-25,9940,299
13633,2011-07-25,13774,1121
13637,2011-07-25,27820,1453
13643,2011-07-25,29280,1061
13644,2011-07-25,66491,1186
13645,2011-07-25,15592,1105
13650,2011-07-25,4931,598
13651,2011-07-25,7075,1047
13653,2011-07-25,37011,124
13658,2011-07-25,7918,1611
13663,2011-07-25,10875,1371
13664,2011-07-25,0,1
13666,2011-07-25,8362,782
13684,2011-07-25,44068,1600
13685,2011-07-25,13490,174
13688,2011-07-25,10559,811
13781,2011-07-25,35487,343
13782,2011-07-25,23969,1435
13790,2011-07-25,23049,1121
13792,2011-07-25,16111,883
13796,2011-07-25,22206,1148
13797,2011-07-25,40699,1590
13805,2011-07-25,19267,365
13890,2011-07-25,33241,949
13892,2011-07-25,61216,785
13893,2011-07-25,16576,180
13894,2011-07-25,12418,1766
13917,2011-07-25,4410,648
13930,2011-07-25,23679,1323
13931,2011-07-25,64234,1706
13934,2011-07-25,47427,897
13935,2011-07-25,167712,173
13936,2011-07-25,111177,863
13938,2011-07-25,83882,125
13940,2011-07-25,92281,191
14105,2011-07-25,0,1
14128,2011-07-25,0,1
14193,2011-07-25,0,1
14339,2011-07-25,0,1
14365,2011-07-25,0,1
14371,2011-07-25,3900,648
14427,2011-07-25,0,1
14453,2011-07-25,13864,52
14521,2011-07-25,0,1
14618,2011-07-25,0,1
14821,2011-07-25,0,1
14835,2011-07-25,0,1
14840,2011-07-25,3198,415
15071,2011-07-25,6803,143
15096,2011-07-25,14070,1492
15159,2011-07-25,46368,1432
15209,2011-07-25,37436,1010
15218,2011-07-25,0,1
15229,2011-07-25,1580,2
15281,2011-07-25,0,1
15285,2011-07-25,38315,772
15358,2011-07-25,22219,1506
15575,2011-07-25,23972,820
15649,2011-07-25,35903,118
15735,2011-07-25,17774,683
15766,2011-07-25,13543,220
15840,2011-07-25,3962,1140
15953,2011-07-25,30584,479
15982,2011-07-25,6684,1837
16025,2011-07-25,3523,989
16183,2011-07-25,0,1
16353,2011-07-25,112100,398
16626,2011-07-25,0,1
16717,2011-07-25,0,1
16738,2011-07-25,0,1
16761,2011-07-25,43044,1389
16892,2011-07-25,0,1
16902,2011-07-25,0,1
16909,2011-07-25,8069,1330
17153,2011-07-25,198898,959
17158,2011-07-25,13980,2
17341,2011-07-25,29519,1073
17342,2011-07-25,0,1
17356,2011-07-25,0,1
17370,2011-07-25,16256,649
17598,2011-07-25,0,1
17752,2011-07-25,0,1
17790,2011-07-25,0,1
17876,2011-07-25,52993,649
17960,2011-07-25,13432,1291
17970,2011-07-25,13701,1420
17989,2011-07-25,0,1
18079,2011-07-25,0,1
18105,2011-07-25,5915,305
18164,2011-07-25,33954,1697
18214,2011-07-25,0,1
18223,2011-07-25,11810,814
18375,2011-07-25,13182,275
18416,2011-07-25,0,1
859,2011-08-01,23860,597
863,2011-08-01,2293,1556
869,2011-08-01,6622,415
871,2011-08-01,4083,1556
880,2011-08-01,0,1
881,2011-08-01,34900,2
883,2011-08-01,11686,1038
890,2011-08-01,0,1
892,2011-08-01,6348,1181
893,2011-08-01,16952,1801
894,2011-08-01,4795,1665
959,2011-08-01,0,1
963,2011-08-01,0,1
969,2011-08-01,0,1
971,2011-08-01,0,1
980,2011-08-01,0,1
981,2011-08-01,0,1
983,2011-08-01,14000,2
990,2011-08-01,0,1
992,2011-08-01,0,1
993,2011-08-01,0,1
994,2011-08-01,0,1
1799,2011-08-01,4962,1014
1800,2011-08-01,6749,1090
1802,2011-08-01,13529,1622
2022,2011-08-01,25434,912
2031,2011-08-01,0,1
2060,2011-08-01,0,1
2080,2011-08-01,0,1
2083,2011-08-01,0,1
2155,2011-08-01,0,1
2186,2011-08-01,0,1
2250,2011-08-01,0,1
2261,2011-08-01,0,1
2286,2011-08-01,7030,1611
2332,2011-08-01,9581,1047
2342,2011-08-01,11085,1029
2371,2011-08-01,0,1
2394,2011-08-01,19142,1479
2673,2011-08-01,0,1
2692,2011-08-01,15276,1525
2810,2011-08-01,3399,305
2825,2011-08-01,0,1
2897,2011-08-01,1360,2
3004,2011-08-01,24007,135
3005,2011-08-01,34939,609
3006,2011-08-01,18604,1655
3031,2011-08-01,162297,1046
3130,2011-08-01,142391,1046
3207,2011-08-01,28714,1821
3278,2011-08-01,21806,953
3384,2011-08-01,0,1
3428,2011-08-01,10383,609
3431,2011-08-01,5698,415
3432,2011-08-01,8001,1774
