"product","date","revenue","units","price"
6066,"2011-07-25",54367,1682,32.3228299643282
6075,"2011-07-25",17848,1492,11.9624664879357
6076,"2011-07-25",38409,1136,33.8107394366197
6078,"2011-07-25",0,1,0
6079,"2011-07-25",8985,1248,7.19951923076923
6081,"2011-07-25",41974,1773,23.6739988719684
6082,"2011-07-25",40524,1255,32.2900398406374
6083,"2011-07-25",20544,1249,16.4483586869496
6088,"2011-07-25",0,1,0
6090,"2011-07-25",0,1,0
6124,"2011-07-25",123738,88,1406.11363636364
6126,"2011-07-25",38489,1496,25.7279411764706
6127,"2011-07-25",47336,959,49.3597497393118
6130,"2011-07-25",87252,1711,50.9947399181765
6136,"2011-07-25",33499,528,63.4450757575758
6145,"2011-07-25",5890,2,2945
6146,"2011-07-25",6487,1766,3.67327293318233
6149,"2011-07-25",7417,917,8.08833151581243
6152,"2011-07-25",0,1,0
6160,"2011-07-25",0,1,0
6169,"2011-07-25",12017,1120,10.7294642857143
6176,"2011-07-25",10537,464,22.7090517241379
6179,"2011-07-25",0,1,0
6210,"2011-07-25",14041,741,18.9487179487179
6221,"2011-07-25",93762,567,165.365079365079
6235,"2011-07-25",0,1,0
6249,"2011-07-25",7516,4,1879
6253,"2011-07-25",0,1,0
6270,"2011-07-25",6889,1120,6.15089285714286
6279,"2011-07-25",0,1,0
6296,"2011-07-25",16955,1450,11.6931034482759
6297,"2011-07-25",16844,1422,11.845288326301
6298,"2011-07-25",15313,1319,11.6095526914329
6299,"2011-07-25",16150,1385,11.6606498194946
6300,"2011-07-25",11787,1225,9.62204081632653
6301,"2011-07-25",13205,1285,10.2762645914397
6302,"2011-07-25",4966,1811,2.74213141910547
6303,"2011-07-25",0,1,0
6304,"2011-07-25",2470,3,823.333333333333
6305,"2011-07-25",6960,2,3480
6306,"2011-07-25",16049,1140,14.0780701754386
6308,"2011-07-25",9872,1014,9.73570019723866
6309,"2011-07-25",10611,969,10.9504643962848
6312,"2011-07-25",22758,496,45.883064516129
6313,"2011-07-25",12393,1503,8.24550898203593
6316,"2011-07-25",5415,81,66.8518518518518
6317,"2011-07-25",8454,445,18.9977528089888
6318,"2011-07-25",0,1,0
6365,"2011-07-25",0,1,0
6504,"2011-07-25",0,1,0
6643,"2011-07-25",0,1,0
6675,"2011-07-25",0,1,0
6706,"2011-07-25",3306,915,3.61311475409836
6709,"2011-07-25",0,1,0
6761,"2011-07-25",19279,190,101.468421052632
6799,"2011-07-25",0,1,0
6808,"2011-07-25",12482,1455,8.5786941580756
6814,"2011-07-25",11496,1600,7.185
6818,"2011-07-25",11186,1514,7.3883751651255
6882,"2011-07-25",0,1,0
6932,"2011-07-25",0,1,0
6969,"2011-07-25",0,1,0
6971,"2011-07-25",8348,1611,5.18187461204221
7165,"2011-07-25",31421,1353,23.2232076866223
7198,"2011-07-25",20418,1074,19.0111731843575
7270,"2011-07-25",0,1,0
7327,"2011-07-25",0,1,0
7489,"2011-07-25",0,1,0
7769,"2011-07-25",13496,311,43.395498392283
7770,"2011-07-25",36930,1525,24.216393442623
7800,"2011-07-25",27480,1204,22.8239202657807
7916,"2011-07-25",0,1,0
7979,"2011-07-25",28256,839,33.6781883194279
7994,"2011-07-25",112906,1071,105.421101774043
8033,"2011-07-25",119015,195,610.333333333333
8035,"2011-07-25",52835,1351,39.1080680977054
8098,"2011-07-25",15899,832,19.109375
8123,"2011-07-25",7794,1503,5.18562874251497
8153,"2011-07-25",42478,1754,24.2177879133409
8188,"2011-07-25",23874,156,153.038461538462
8207,"2011-07-25",5784,3,1928
8214,"2011-07-25",0,1,0
8231,"2011-07-25",4382,1316,3.32978723404255
8246,"2011-07-25",0,1,0
8288,"2011-07-25",0,1,0
8348,"2011-07-25",3644,887,4.10822998872604
8421,"2011-07-25",0,1,0
8478,"2011-07-25",0,1,0
8504,"2011-07-25",0,1,0
8642,"2011-07-25",87227,798,109.30701754386
8676,"2011-07-25",29861,1492,20.0140750670241
8717,"2011-07-25",7844,654,11.9938837920489
8789,"2011-07-25",202083,607,332.920922570017
8842,"2011-07-25",9275,1717,5.40186371578334
9097,"2011-07-25",33500,754,44.4297082228117
9257,"2011-07-25",20299,744,27.2836021505376
9318,"2011-07-25",0,1,0
9362,"2011-07-25",6170,2,3085
9442,"2011-07-25",0,1,0
9453,"2011-07-25",7470,2,3735
9686,"2011-07-25",0,1,0
9711,"2011-07-25",22470,2,11235
9932,"2011-07-25",19873,1090,18.2321100917431
10020,"2011-07-25",0,1,0
10230,"2011-07-25",205648,1146,179.448516579407
10233,"2011-07-25",133971,730,183.521917808219
10255,"2011-07-25",5310,2,2655
10316,"2011-07-25",0,1,0
10448,"2011-07-25",0,1,0
10511,"2011-07-25",5900,2,2950
10524,"2011-07-25",0,1,0
10653,"2011-07-25",0,1,0
10772,"2011-07-25",0,1,0
10810,"2011-07-25",0,1,0
11004,"2011-07-25",13858,1600,8.66125
11270,"2011-07-25",0,1,0
11271,"2011-07-25",0,1,0
11379,"2011-07-25",41772,169,247.171597633136
11434,"2011-07-25",0,1,0
11486,"2011-07-25",0,1,0
11600,"2011-07-25",0,1,0
11613,"2011-07-25",0,1,0
11637,"2011-07-25",0,1,0
11652,"2011-07-25",0,1,0
11655,"2011-07-25",12285,1443,8.51351351351351
11750,"2011-07-25",0,1,0
11789,"2011-07-25",0,1,0
11805,"2011-07-25",9360,989,9.46410515672396
11822,"2011-07-25",0,1,0
11825,"2011-07-25",19798,1644,12.0425790754258
11827,"2011-07-25",0,1,0
11834,"2011-07-25",0,1,0
11889,"2011-07-25",0,1,0
11961,"2011-07-25",0,1,0
11971,"2011-07-25",45528,1669,27.2786099460755
11975,"2011-07-25",7338,1556,4.7159383033419
12002,"2011-07-25",0,1,0
12006,"2011-07-25",0,1,0
12091,"2011-07-25",0,1,0
12166,"2011-07-25",0,1,0
12202,"2011-07-25",19888,1395,14.2566308243728
12223,"2011-07-25",0,1,0
12316,"2011-07-25",0,1,0
12400,"2011-07-25",4718,648,7.28086419753086
12538,"2011-07-25",6140,989,6.20829120323559
12600,"2011-07-25",0,1,0
12615,"2011-07-25",17379,1408,12.3430397727273
12670,"2011-07-25",19840,1490,13.3154362416107
12760,"2011-07-25",0,1,0
12807,"2011-07-25",0,1,0
12976,"2011-07-25",45183,1055,42.8274881516588
13062,"2011-07-25",9633,780,12.35
13079,"2011-07-25",3446,1557,2.21323057161207
13080,"2011-07-25",0,1,0
13082,"2011-07-25",0,1,0
13083,"2011-07-25",4650,2,2325
13084,"2011-07-25",9142,702,13.022792022792
13085,"2011-07-25",5666,1251,4.52917665867306
13086,"2011-07-25",13158,267,49.2808988764045
13087,"2011-07-25",10973,251,43.7171314741036
13089,"2011-07-25",22552,1223,18.4399018806214
13091,"2011-07-25",6730,2,3365
13092,"2011-07-25",3580,2,1790
13111,"2011-07-25",7546,912,8.27412280701754
13117,"2011-07-25",15961,1205,13.245643153527
13118,"2011-07-25",9734,1514,6.42932628797886
13147,"2011-07-25",10243,1579,6.48701709943002
13150,"2011-07-25",9007,1266,7.11453396524487
13173,"2011-07-25",27896,418,66.7368421052632
13200,"2011-07-25",4560,648,7.03703703703704
13201,"2011-07-25",2325,648,3.58796296296296
13210,"2011-07-25",14061,1069,13.1534144059869
13213,"2011-07-25",8193,296,27.6790540540541
13216,"2011-07-25",0,1,0
13217,"2011-07-25",14295,1117,12.7976723366159
13225,"2011-07-25",8673,520,16.6788461538462
13235,"2011-07-25",20192,1476,13.680216802168
13241,"2011-07-25",15406,900,17.1177777777778
13243,"2011-07-25",28082,1379,20.3640319071791
13244,"2011-07-25",11322,1056,10.7215909090909
13259,"2011-07-25",18770,910,20.6263736263736
13262,"2011-07-25",7560,196,38.5714285714286
13263,"2011-07-25",0,1,0
13270,"2011-07-25",12387,1251,9.90167865707434
13273,"2011-07-25",10009,1068,9.37172284644195
13288,"2011-07-25",16256,1736,9.36405529953917
13290,"2011-07-25",15517,678,22.8864306784661
13294,"2011-07-25",17848,556,32.1007194244604
13296,"2011-07-25",12076,630,19.168253968254
13298,"2011-07-25",81528,933,87.3826366559486
13300,"2011-07-25",5561,1443,3.85377685377685
13301,"2011-07-25",11534,373,30.9222520107239
13302,"2011-07-25",7995,1755,4.55555555555556
13304,"2011-07-25",32675,1484,22.0181940700809
13305,"2011-07-25",45597,1601,28.4803247970019
13309,"2011-07-25",11422,1067,10.7047797563261
13311,"2011-07-25",12371,1022,12.1046966731898
13313,"2011-07-25",10338,863,11.9791425260718
13314,"2011-07-25",24665,997,24.7392176529589
13315,"2011-07-25",55176,460,119.947826086957
13320,"2011-07-25",18717,951,19.6813880126183
13323,"2011-07-25",5600,2,2800
13325,"2011-07-25",9660,2,4830
13326,"2011-07-25",30530,854,35.7494145199063
13331,"2011-07-25",10214,1366,7.47730600292826
13332,"2011-07-25",22945,904,25.3816371681416
13334,"2011-07-25",0,1,0
13336,"2011-07-25",9320,648,14.3827160493827
13337,"2011-07-25",7710,989,7.79575328614762
13344,"2011-07-25",27583,860,32.0732558139535
13347,"2011-07-25",0,1,0
13349,"2011-07-25",9076,626,14.4984025559105
13359,"2011-07-25",13772,657,20.9619482496195
13362,"2011-07-25",960,648,1.48148148148148
13364,"2011-07-25",50464,1659,30.418324291742
13367,"2011-07-25",2833,41,69.0975609756098
13370,"2011-07-25",0,1,0
13374,"2011-07-25",9781,893,10.952967525196
13380,"2011-07-25",12591,1036,12.1534749034749
13381,"2011-07-25",19197,1410,13.6148936170213
13382,"2011-07-25",18560,1424,13.0337078651685
13383,"2011-07-25",33445,175,191.114285714286
13384,"2011-07-25",15093,1283,11.7638347622759
13385,"2011-07-25",12972,1278,10.150234741784
13402,"2011-07-25",8369,1038,8.0626204238921
13403,"2011-07-25",5357,415,12.9084337349398
13405,"2011-07-25",3594,1251,2.87290167865707
13406,"2011-07-25",1960,2,980
13407,"2011-07-25",4828,1622,2.97657213316893
13414,"2011-07-25",0,1,0
13416,"2011-07-25",3607,1525,2.36524590163934
13426,"2011-07-25",40155,544,73.8143382352941
13428,"2011-07-25",9515,305,31.1967213114754
13429,"2011-07-25",11997,781,15.3610755441741
13432,"2011-07-25",4897,1160,4.22155172413793
13433,"2011-07-25",7653,577,13.263431542461
13438,"2011-07-25",21775,1297,16.7887432536623
13439,"2011-07-25",27972,1069,26.1665107577175
13443,"2011-07-25",13950,118,118.220338983051
13444,"2011-07-25",10216,887,11.5174746335964
13446,"2011-07-25",0,1,0
13453,"2011-07-25",6685,1811,3.69133075648813
13458,"2011-07-25",23848,687,34.7132459970888
13461,"2011-07-25",82326,741,111.101214574899
13463,"2011-07-25",494346,1533,322.469667318982
13464,"2011-07-25",77893,1329,58.6102332580888
13467,"2011-07-25",46478,1442,32.2316227461859
13482,"2011-07-25",15205,1455,10.4501718213058
13499,"2011-07-25",0,1,0
13515,"2011-07-25",17399,1789,9.72554499720514
13520,"2011-07-25",33843,441,76.7414965986395
13526,"2011-07-25",20961,1425,14.7094736842105
13527,"2011-07-25",26170,775,33.7677419354839
13528,"2011-07-25",92050,1522,60.4796320630749
13531,"2011-07-25",26432,1513,17.4699272967614
13532,"2011-07-25",47451,1471,32.2576478585996
13533,"2011-07-25",11488,1114,10.3123877917415
13535,"2011-07-25",0,1,0
13537,"2011-07-25",0,1,0
13550,"2011-07-25",0,1,0
13554,"2011-07-25",0,1,0
13556,"2011-07-25",129523,79,1639.53164556962
13561,"2011-07-25",7390,471,15.6900212314225
13571,"2011-07-25",12795,330,38.7727272727273
13574,"2011-07-25",7471,1100,6.79181818181818
13582,"2011-07-25",24201,1245,19.4385542168675
13594,"2011-07-25",15011,1479,10.1494252873563
13595,"2011-07-25",25866,1665,15.5351351351351
13596,"2011-07-25",43435,1329,32.6824680210685
13600,"2011-07-25",17236,1589,10.8470736312146
13604,"2011-07-25",39055,649,60.1771956856703
13611,"2011-07-25",14530,52,279.423076923077
13615,"2011-07-25",115723,858,134.875291375291
13627,"2011-07-25",6611,398,16.6105527638191
13628,"2011-07-25",4442,225,19.7422222222222
13629,"2011-07-25",9940,299,33.2441471571906
13633,"2011-07-25",13774,1121,12.2872435325602
13637,"2011-07-25",27820,1453,19.1465932553338
13643,"2011-07-25",29280,1061,27.5966069745523
13644,"2011-07-25",66491,1186,56.0632377740304
13645,"2011-07-25",15592,1105,14.110407239819
13650,"2011-07-25",4931,598,8.24581939799331
13651,"2011-07-25",7075,1047,6.75740210124164
13653,"2011-07-25",37011,124,298.475806451613
13658,"2011-07-25",7918,1611,4.91495965238982
13663,"2011-07-25",10875,1371,7.93216630196937
13664,"2011-07-25",0,1,0
13666,"2011-07-25",8362,782,10.693094629156
13684,"2011-07-25",44068,1600,27.5425
13685,"2011-07-25",13490,174,77.5287356321839
13688,"2011-07-25",10559,811,13.019728729963
13781,"2011-07-25",35487,343,103.460641399417
13782,"2011-07-25",23969,1435,16.7031358885017
13790,"2011-07-25",23049,1121,20.5611061552186
13792,"2011-07-25",16111,883,18.2457531143828
13796,"2011-07-25",22206,1148,19.3432055749129
13797,"2011-07-25",40699,1590,25.596855345912
13805,"2011-07-25",19267,365,52.786301369863
13890,"2011-07-25",33241,949,35.027397260274
13892,"2011-07-25",61216,785,77.9821656050955
13893,"2011-07-25",16576,180,92.0888888888889
13894,"2011-07-25",12418,1766,7.0317100792752
13917,"2011-07-25",4410,648,6.80555555555556
13930,"2011-07-25",23679,1323,17.8979591836735
13931,"2011-07-25",64234,1706,37.651817116061
13934,"2011-07-25",47427,897,52.8729096989967
13935,"2011-07-25",167712,173,969.433526011561
13936,"2011-07-25",111177,863,128.826187717265
13938,"2011-07-25",83882,125,671.056
13940,"2011-07-25",92281,191,483.146596858639
14105,"2011-07-25",0,1,0
14128,"2011-07-25",0,1,0
14193,"2011-07-25",0,1,0
14339,"2011-07-25",0,1,0
14365,"2011-07-25",0,1,0
14371,"2011-07-25",3900,648,6.01851851851852
14427,"2011-07-25",0,1,0
14453,"2011-07-25",13864,52,266.615384615385
14521,"2011-07-25",0,1,0
14618,"2011-07-25",0,1,0
14821,"2011-07-25",0,1,0
14835,"2011-07-25",0,1,0
14840,"2011-07-25",3198,415,7.70602409638554
15071,"2011-07-25",6803,143,47.5734265734266
15096,"2011-07-25",14070,1492,9.43029490616622
15159,"2011-07-25",46368,1432,32.3798882681564
15209,"2011-07-25",37436,1010,37.0653465346535
15218,"2011-07-25",0,1,0
15229,"2011-07-25",1580,2,790
15281,"2011-07-25",0,1,0
15285,"2011-07-25",38315,772,49.630829015544
15358,"2011-07-25",22219,1506,14.7536520584329
15575,"2011-07-25",23972,820,29.2341463414634
15649,"2011-07-25",35903,118,304.262711864407
15735,"2011-07-25",17774,683,26.0234260614934
15766,"2011-07-25",13543,220,61.5590909090909
15840,"2011-07-25",3962,1140,3.47543859649123
15953,"2011-07-25",30584,479,63.8496868475992
15982,"2011-07-25",6684,1837,3.63854109961894
16025,"2011-07-25",3523,989,3.56218402426694
16183,"2011-07-25",0,1,0
16353,"2011-07-25",112100,398,281.658291457286
16626,"2011-07-25",0,1,0
16717,"2011-07-25",0,1,0
16738,"2011-07-25",0,1,0
16761,"2011-07-25",43044,1389,30.9892008639309
16892,"2011-07-25",0,1,0
16902,"2011-07-25",0,1,0
16909,"2011-07-25",8069,1330,6.06691729323308
17153,"2011-07-25",198898,959,207.401459854015
17158,"2011-07-25",13980,2,6990
17341,"2011-07-25",29519,1073,27.5107176141659
17342,"2011-07-25",0,1,0
17356,"2011-07-25",0,1,0
17370,"2011-07-25",16256,649,25.0477657935285
17598,"2011-07-25",0,1,0
17752,"2011-07-25",0,1,0
17790,"2011-07-25",0,1,0
17876,"2011-07-25",52993,649,81.653312788906
