"Opted.out.of.all.email","First.email.send.date","Last.email.send.date","Emails.Delivered"
FALSE,2014-02-24,2014-07-28,14
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-28,25
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-02-05,2014-07-28,32
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-29,31
FALSE,2014-02-07,2014-07-28,23
FALSE,2014-07-23,2014-07-28,2
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-06-30,39
FALSE,2014-02-05,2014-07-30,13
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-29,14
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-05,2014-07-28,16
FALSE,2014-02-05,2014-07-28,21
FALSE,2014-02-05,2014-07-28,19
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-24,2014-07-28,14
FALSE,2014-02-05,2014-07-28,23
FALSE,2014-06-25,2014-07-28,12
FALSE,2014-02-24,2014-07-28,12
FALSE,2014-02-24,2014-07-28,13
FALSE,2014-02-05,2014-07-28,31
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-05,2014-07-28,24
FALSE,2014-02-24,2014-07-28,19
FALSE,2014-02-05,2014-07-29,25
FALSE,2014-02-24,2014-07-28,17
FALSE,2014-02-24,2014-07-28,23
FALSE,2014-02-05,2014-07-28,14
FALSE,2014-02-05,2014-07-28,22
FALSE,2014-02-05,2014-07-30,35
FALSE,2014-02-07,2014-07-28,21
FALSE,2014-02-24,2014-07-28,25
FALSE,2014-02-17,2014-07-30,17
FALSE,2014-02-10,2014-07-28,27
FALSE,2014-02-05,2014-07-28,18
FALSE,2014-02-05,2014-07-28,27
FALSE,2014-02-05,2014-07-28,29
FALSE,2014-02-05,2014-07-28,13
FALSE,2014-02-05,2014-07-28,39
FALSE,2014-02-05,2014-07-28,20
FALSE,2014-02-17,2014-07-28,18
FALSE,2014-02-24,2014-07-28,13
FALSE,2014-02-17,2014-07-28,27
FALSE,2014-02-24,2014-07-28,37
FALSE,2014-02-24,2014-07-28,25
FALSE,2014-02-14,2014-07-28,26
FALSE,2014-02-24,2014-07-28,14
FALSE,2014-02-24,2014-07-28,17
FALSE,2014-02-24,2014-07-28,18
FALSE,2014-02-13,2014-07-28,21
FALSE,2014-02-24,2014-07-28,18
FALSE,2014-02-17,2014-07-28,18
FALSE,2014-02-24,2014-07-28,17
FALSE,2014-02-10,2014-07-28,43
FALSE,2014-02-11,2014-07-28,31
FALSE,2014-02-17,2014-07-28,18
FALSE,2014-02-24,2014-07-28,34
FALSE,2014-02-24,2014-07-28,18
FALSE,2014-02-24,2014-07-28,18
FALSE,2014-02-24,2014-07-28,19
FALSE,2014-02-24,2014-07-28,26
FALSE,2014-02-18,2014-07-28,21
FALSE,2014-02-17,2014-07-28,30
FALSE,2014-02-24,2014-07-28,27
FALSE,2014-02-17,2014-07-28,23
FALSE,2014-02-20,2014-07-28,30
FALSE,2014-02-24,2014-07-28,15
TRUE,2014-02-24,2014-05-06,18
FALSE,2014-02-17,2014-07-28,13
FALSE,2014-02-12,2014-07-28,25
FALSE,2014-02-17,2014-07-28,16
FALSE,2014-02-24,2014-07-28,18
FALSE,2014-02-14,2014-07-28,21
FALSE,2014-02-17,2014-07-28,24
FALSE,2014-02-14,2014-07-28,21
FALSE,2014-02-17,2014-07-28,17
FALSE,2014-02-20,2014-07-28,17
FALSE,2014-02-12,2014-07-28,53
FALSE,2014-02-21,2014-06-30,30
FALSE,2014-02-24,2014-07-28,28
FALSE,2014-02-24,2014-07-28,16
FALSE,2014-02-14,2014-07-28,25
FALSE,2014-02-24,2014-07-28,30
FALSE,2014-02-20,2014-07-28,36
FALSE,2014-02-20,2014-07-28,17
FALSE,2014-02-24,2014-07-28,21
FALSE,2014-02-24,2014-07-28,24
FALSE,2014-02-17,2014-07-28,18
TRUE,2014-02-17,2014-06-05,54
FALSE,2014-02-24,2014-07-28,23
FALSE,2014-02-26,2014-07-28,23
FALSE,2014-03-24,2014-07-28,18
FALSE,2014-02-26,2014-07-28,26
FALSE,2014-03-03,2014-07-28,25
FALSE,2014-03-24,2014-07-28,29
FALSE,2014-03-24,2014-07-28,19
FALSE,2014-02-26,2014-07-28,29
FALSE,2014-02-26,2014-07-28,29
FALSE,2014-03-17,2014-07-28,27
FALSE,2014-02-26,2014-07-28,17
FALSE,2014-03-11,2014-07-28,31
FALSE,2014-03-11,2014-07-28,16
FALSE,2014-03-24,2014-07-28,18
FALSE,2014-03-03,2014-07-28,21
FALSE,2014-03-11,2014-07-28,15
FALSE,2014-03-19,2014-07-29,31
FALSE,2014-03-24,2014-07-28,22
FALSE,2014-03-20,2014-07-29,41
FALSE,2014-03-03,2014-07-28,21
FALSE,2014-03-24,2014-07-28,29
FALSE,2014-03-05,2014-07-28,29
TRUE,2014-03-03,2014-05-26,19
FALSE,2014-02-24,2014-07-28,21
FALSE,2014-03-24,2014-07-28,20
FALSE,2014-03-11,2014-07-28,28
FALSE,2014-03-11,2014-07-28,13
FALSE,2014-03-24,2014-07-28,24
FALSE,2014-02-26,2014-07-28,20
FALSE,2014-03-24,2014-07-28,33
FALSE,2014-07-25,2014-07-28,2
FALSE,2014-03-03,2014-07-28,23
FALSE,2014-03-12,2014-07-28,26
FALSE,2014-03-21,2014-07-28,13
FALSE,2014-03-17,2014-07-28,15
FALSE,2014-03-17,2014-07-28,24
FALSE,2014-02-26,2014-07-28,35
FALSE,2014-07-23,2014-07-28,2
FALSE,2014-02-26,2014-07-28,27
FALSE,2014-03-24,2014-07-29,33
FALSE,2014-03-24,2014-07-28,18
FALSE,2014-06-17,2014-07-28,4
FALSE,2014-03-11,2014-07-28,10
FALSE,2014-03-11,2014-07-28,12
FALSE,2014-03-11,2014-07-28,31
FALSE,2014-03-11,2014-07-28,34
FALSE,2014-03-17,2014-07-28,20
FALSE,2014-03-24,2014-07-28,18
FALSE,2014-02-26,2014-07-28,38
FALSE,2014-03-24,2014-07-28,36
FALSE,2014-03-24,2014-07-28,17
FALSE,2014-03-28,2014-07-28,12
FALSE,2014-03-26,2014-07-28,15
FALSE,2014-03-30,2014-07-28,18
FALSE,2014-03-27,2014-07-28,13
FALSE,2014-03-31,2014-07-28,13
FALSE,2014-03-27,2014-07-28,15
FALSE,2014-04-08,2014-07-28,18
TRUE,2014-03-27,2014-03-27,1
FALSE,2014-03-25,2014-07-30,30
FALSE,2014-04-03,2014-07-28,8
FALSE,2014-03-26,2014-07-28,26
FALSE,2014-03-30,2014-07-28,13
FALSE,2014-04-02,2014-07-28,23
FALSE,2014-03-31,2014-07-28,19
FALSE,2014-04-01,2014-07-28,20
FALSE,2014-03-27,2014-07-28,14
FALSE,2014-03-27,2014-07-28,19
FALSE,2014-03-27,2014-07-23,12
FALSE,2014-03-28,2014-07-28,24
FALSE,2014-03-24,2014-07-28,23
FALSE,2014-03-24,2014-07-28,15
FALSE,2014-03-27,2014-07-28,13
FALSE,2014-03-27,2014-07-28,17
FALSE,2014-03-28,2014-07-28,13
FALSE,2014-04-07,2014-07-28,12
FALSE,2014-07-16,2014-07-28,12
FALSE,2014-03-27,2014-07-28,18
FALSE,2014-03-31,2014-07-28,20
FALSE,2014-06-20,2014-07-28,14
FALSE,2014-03-27,2014-07-28,17
FALSE,2014-03-27,2014-07-28,18
FALSE,2014-03-27,2014-07-28,22
FALSE,2014-03-25,2014-07-28,19
FALSE,2014-03-27,2014-07-28,16
FALSE,2014-03-27,2014-07-28,15
FALSE,2014-03-26,2014-07-28,15
FALSE,2014-03-26,2014-07-28,22
FALSE,2014-04-02,2014-07-28,28
FALSE,2014-03-28,2014-07-28,14
FALSE,2014-03-24,2014-07-28,18
FALSE,2014-03-28,2014-07-28,16
FALSE,2014-03-27,2014-07-28,14
FALSE,2014-03-25,2014-07-28,23
FALSE,2014-03-28,2014-07-28,12
FALSE,2014-03-28,2014-07-28,12
FALSE,2014-03-31,2014-07-28,17
FALSE,2014-03-25,2014-07-28,15
FALSE,2014-03-29,2014-07-28,17
FALSE,2014-03-29,2014-07-28,24
FALSE,2014-03-27,2014-07-28,14
FALSE,2014-04-02,2014-07-28,21
FALSE,2014-04-14,2014-07-28,11
FALSE,2014-04-07,2014-07-28,9
FALSE,2014-04-12,2014-07-28,22
FALSE,2014-04-14,2014-07-28,17
FALSE,2014-04-06,2014-07-30,19
FALSE,2014-04-07,2014-07-28,12
FALSE,2014-04-04,2014-07-28,28
FALSE,2014-04-10,2014-07-28,8
FALSE,2014-04-13,2014-07-28,13
FALSE,2014-04-08,2014-07-28,12
FALSE,2014-04-09,2014-07-23,6
FALSE,2014-04-16,2014-07-28,16
FALSE,2014-04-11,2014-07-28,16
FALSE,2014-04-08,2014-07-28,13
FALSE,2014-04-14,2014-07-28,13
FALSE,2014-04-08,2014-07-28,12
FALSE,2014-04-11,2014-07-28,23
FALSE,2014-04-07,2014-07-28,8
FALSE,2014-04-09,2014-07-28,12
FALSE,2014-04-13,2014-07-28,11
FALSE,2014-04-22,2014-07-28,23
FALSE,2014-04-08,2014-07-28,12
FALSE,2014-04-11,2014-07-28,16
FALSE,2014-04-12,2014-07-28,16
TRUE,2014-04-07,2014-04-22,6
FALSE,2014-04-08,2014-07-28,24
FALSE,2014-04-14,2014-07-28,16
FALSE,2014-04-13,2014-07-28,21
FALSE,2014-07-04,2014-07-28,9
FALSE,2014-04-09,2014-07-28,7
FALSE,2014-04-11,2014-07-28,11
FALSE,2014-04-08,2014-07-28,12
FALSE,2014-04-23,2014-07-28,25
FALSE,2014-04-07,2014-07-28,16
FALSE,2014-04-08,2014-07-28,16
TRUE,2014-04-05,2014-05-05,16
FALSE,2014-04-22,2014-07-30,19
FALSE,2014-04-13,2014-07-28,20
FALSE,2014-04-07,2014-07-28,12
FALSE,2014-04-22,2014-07-28,22
FALSE,2014-04-07,2014-07-28,12
FALSE,2014-04-08,2014-07-28,18
FALSE,2014-04-10,2014-07-28,7
FALSE,2014-04-14,2014-07-28,11
FALSE,2014-04-22,2014-07-28,16
FALSE,2014-04-12,2014-07-28,17
FALSE,2014-04-13,2014-07-28,25
FALSE,2014-04-11,2014-07-28,12
FALSE,2014-04-17,2014-07-28,7
FALSE,2014-04-17,2014-07-28,12
FALSE,2014-04-18,2014-07-28,8
FALSE,2014-04-16,2014-07-28,17
FALSE,2014-04-22,2014-07-28,23
FALSE,2014-04-16,2014-07-28,7
FALSE,2014-04-16,2014-07-28,22
FALSE,2014-04-22,2014-07-28,19
FALSE,2014-04-17,2014-07-28,12
FALSE,2014-04-17,2014-07-28,11
FALSE,2014-04-21,2014-07-28,11
FALSE,2014-04-17,2014-07-28,7
FALSE,2014-04-16,2014-07-28,25
FALSE,2014-04-18,2014-07-28,11
FALSE,2014-04-16,2014-07-28,7
